Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,1.0,1.0,1.0,0.7071067811865476,0.0,0.7071067811865476,1.0,0.5773502691896257,1.0,1.0,0.816496580927726,1.0,1.0,0.7071067811865476,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0,0.816496580927726,0.7071067811865476,1.0,0.816496580927726,1.0,1.0,1.0,0.7071067811865476,1.0
Colorectal_GSE32323,1.0,0.7071067811865476,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.7071067811865476,1.0,1.0,1.0,0.7071067811865476,1.0,1.0,1.0,0.7071067811865476,1.0,0.7071067811865476
Colorectal_GSE44076,0.9486832980505138,1.0,1.0,0.9486832980505138,0.9428090415820634,1.0,0.9428090415820634,0.9486832980505138,1.0,1.0,1.0,1.0,1.0,0.9486832980505138,1.0,1.0,0.8944271909999159,0.8944271909999159,0.9428090415820634,1.0,0.9486832980505138,0.9486832980505138,0.9486832980505138,1.0,1.0,1.0,1.0,1.0,1.0,0.9486832980505138
Colorectal_GSE44861,0.7071067811865476,0.7071067811865476,0.816496580927726,0.9128709291752769,0.7071067811865476,1.0,1.0,0.6928203230275509,0.6324555320336759,0.4898979485566356,0.6324555320336759,0.816496580927726,0.7745966692414834,0.5163977794943222,1.0,0.8944271909999159,1.0,0.4,0.0,0.8,0.9128709291752769,0.816496580927726,0.6324555320336759,0.816496580927726,0.816496580927726,0.7745966692414834,0.7745966692414834,0.6928203230275509,0.5656854249492381,1.0
Liver_GSE14520_U133A,0.9733285267845752,0.8871510790372952,0.9128709291752769,0.9428090415820634,0.97182531580755,0.97182531580755,0.97182531580755,0.9701425001453319,0.9701425001453319,0.97182531580755,1.0,0.8871510790372952,0.8819171036881969,0.9162456945817024,0.97182531580755,0.97182531580755,0.97182531580755,0.9428090415820634,0.9701425001453319,0.8574929257125442,0.9442673704375605,0.8888888888888888,0.9428090415820634,1.0,0.97182531580755,0.9428090415820634,0.8871510790372952,0.97182531580755,0.8003267306650412,0.9128709291752768
Liver_GSE50579,0.0,0.0,1.0,0.0,0.7071067811865476,0.7071067811865476,0.0,1.0,1.0,1.0,0.9258200997725514,0.0,0.0,1.0,1.0,0.7071067811865476,0.0,0.9128709291752769,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Liver_GSE62232,1.0,1.0,0.0,1.0,0.8660254037844386,0.9354143466934853,0.9354143466934853,1.0,0.9354143466934853,1.0,1.0,1.0,0.9354143466934853,1.0,0.9354143466934853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9354143466934853,1.0,1.0
Leukemia_GSE22529_U133A,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.7071067811865476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7071067811865476,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Leukemia_GSE22529_U133B,1.0,0.7071067811865476,1.0,0.0,0.8660254037844386,1.0,1.0,1.0,1.0,1.0,0.0,0.7071067811865476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
Leukemia_GSE33615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8944271909999159,1.0,0.8944271909999159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7071067811865476,1.0,1.0,1.0,0.7071067811865476,1.0,1.0
Leukemia_GSE63270,1.0,0.8660254037844386,1.0,0.9128709291752769,1.0,1.0,1.0,1.0,1.0,0.9128709291752769,0.8944271909999159,1.0,0.9128709291752769,1.0,1.0,1.0,0.9128709291752769,1.0,1.0,0.8660254037844386,1.0,1.0,1.0,0.7905694150420949,1.0,0.9128709291752769,1.0,0.9128709291752769,1.0,1.0
