Dataset,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat
,time,gmean,fs,gmean,fs,gmean,fs
Colorectal_GSE25070,275.78742049535117,0.8675056817748064,2.533333333333333,0.8675056817748064,2.8666666666666667,0.9340099943042001,3.466666666666667
Colorectal_GSE32323,246.14234635035197,0.8845177968644246,2.1,0.8845177968644246,1.7666666666666666,0.8942809041582064,2.7
Colorectal_GSE44076,399.7216225862503,0.9514490163968331,1.7666666666666666,0.9531595731284827,1.8,0.9712246948072779,2.5
Colorectal_GSE44861,201.1639713605245,0.8326070863257254,2.533333333333333,0.8384985172830207,2.1333333333333333,0.8245187135315258,2.6333333333333333
Leukemia_GSE22529_U133A,226.6492408355077,0.8057069465441434,2.3666666666666667,0.8012411266702913,2.1,0.8390402798774766,2.2666666666666666
Leukemia_GSE22529_U133B,236.4372014919917,0.87237361321081,2.5,0.87237361321081,2.2,0.8617790383709507,2.7333333333333334
Leukemia_GSE33615,431.4833056688309,0.9807103304677836,2.466666666666667,0.9842294241011198,2.466666666666667,0.983198705439546,3.066666666666667
ALL-AML-full,847.6198648373286,0.811586352285412,2.7333333333333334,0.8130840381835895,2.6333333333333333,0.8369034813349129,3.2333333333333334
Breast_GSE22820,416.52310659090676,0.9527208508185662,2.8,0.9514131482462501,2.7,0.9873618867242152,4.3
Breast_GSE59246,284.76645301183066,0.711361772861365,3.3,0.7133038435661766,2.933333333333333,0.705472580633408,3.2333333333333334
Breast_GSE70947,396.0799140930176,0.7818231675717087,2.3333333333333335,0.7782938178342265,2.1666666666666665,0.7836794839994599,2.7666666666666666
breastCancer-full,429.16189080079397,0.6498395698376309,3.033333333333333,0.6585296168053488,2.6333333333333333,0.6314413349233304,3.466666666666667
prostate_tumorVSNormal-full,751.2108632644017,0.5940196249370848,2.8,0.6005322304081935,2.433333333333333,0.6254435711420249,2.966666666666667
